,Afghanistan,Africa,Albania,Andorra,Angola,Anguilla,Argentina,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Bermuda,Bhutan,Bolivia,Brazil,Bulgaria,Cambodia,Canada,Cape Verde,Cayman Islands,Chile,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Cyprus,Czechia,Denmark,Dominica,Dominican Republic,Ecuador,El Salvador,England,Equatorial Guinea,Estonia,Europe,European Union,Faeroe Islands,Falkland Islands,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guernsey,Guyana,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kuwait,Laos,Latvia,Lebanon,Lithuania,Luxembourg,Macao,Malawi,Malaysia,Malta,Mauritius,Mexico,Moldova,Monaco,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Netherlands,New Zealand,Nigeria,North America,North Macedonia,Northern Cyprus,Northern Ireland,Norway,Oceania,Oman,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,San Marino,Sao Tome and Principe,Scotland,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,South America,South Korea,Spain,Sri Lanka,Suriname,Sweden,Switzerland,Taiwan,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Vietnam,Wales,World,Zimbabwe
12/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55576,0,0,86465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86465,0,0,0,0,8257,86465,0
12/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28500,0
12/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/19/2020,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
12/20/2020,0,0,0,0,0,0,0,7372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519253,0,0,588821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556208,0,0,12445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588821,556208,0,0,0,15799,1152401,0
12/21/2020,0,0,0,0,0,0,0,24871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57909,0,0,0,0,82780,0
12/22/2020,0,0,0,0,0,0,0,44610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68110,0
12/23/2020,0,0,0,0,0,0,0,101779,0,0,0,0,38965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393908,0,0,0,0,495687,0
12/24/2020,0,0,0,0,0,0,0,84399,0,0,0,0,11106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2924,0,0,0,0,0,0,0,0,0,0,0,2924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87743,0
12/25/2020,0,0,0,0,0,0,0,38910,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43688,0
12/26/2020,0,0,0,0,0,0,0,33565,0,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936560,0,0,0,0,973265,0
12/27/2020,0,0,0,0,0,0,0,106338,0,720,0,0,2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,1249,6414,0,0,0,0,267809,0,0,380506,50714,0,0,0,13,0,0,0,23779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104280,7151,0,0,0,0,0,0,0,0,0,0,2420,0,0,0,0,0,0,3900,0,0,0,0,0,0,0,0,0,0,0,3900,0,0,14948,5,0,0,0,0,0,0,0,0,0,0,0,965,0,0,0,0,0,0,0,34535,0,0,0,0,0,0,6039,0,311,0,0,0,0,1964,0,0,0,0,0,0,0,0,0,0,0,329787,0,0,0,0,12495,491055,0
12/28/2020,0,0,0,0,0,0,0,137835,0,1294,0,0,1400,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2293,1989,0,0,0,0,0,0,0,34802,34198,0,0,0,39,0,0,0,18386,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134718,1421,0,0,0,0,0,0,0,0,596,0,2787,0,0,0,0,0,0,2755,0,0,0,0,0,0,0,0,0,0,0,185313,0,0,0,604,0,1717,0,0,0,0,0,0,2000,0,0,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182558,0,0,0,0,357950,0
12/29/2020,0,0,0,0,0,0,0,158503,0,1615,0,0,1027,0,0,0,1,0,0,0,0,0,1719,0,0,0,0,0,0,0,0,0,0,3442,8856,0,0,0,0,0,0,0,76142,75075,0,0,0,86,0,0,0,47613,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155830,1005,0,0,0,0,0,0,0,0,873,0,2987,0,0,0,0,0,0,8950,0,0,0,0,0,0,0,0,0,0,0,8950,0,0,0,1067,0,1646,0,0,0,0,0,0,4300,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243595,0
12/30/2020,0,0,0,0,0,0,0,155549,0,1346,0,0,1276,0,0,0,478,0,0,0,0,0,2889,0,0,0,0,0,0,0,0,7864,0,3466,11356,0,0,0,0,0,0,0,135786,130484,0,0,0,99,0,0,0,60821,0,0,645,0,0,0,0,0,0,0,0,4875,0,0,0,0,0,0,152593,4724,0,0,0,0,0,0,0,0,791,0,1532,1200,0,0,0,0,0,6469,0,0,0,0,0,0,0,0,0,0,0,673914,0,0,0,427,0,1680,0,0,0,0,0,0,30000,0,0,2888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667445,0,0,0,0,965249,0
12/31/2020,0,0,0,0,0,0,0,160801,0,8,0,0,1326,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306,6095,0,0,0,0,0,0,0,99811,99739,0,0,0,79,0,0,0,48359,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158002,25466,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,1473,0,0,0,0,0,0,11300,0,0,4623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260612,0
1/1/2021,0,0,0,0,0,0,0,71873,0,3,0,0,708,0,0,0,8,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,260,2314,0,0,0,0,0,0,0,34838,34832,0,0,0,9,0,0,0,19275,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71165,11051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106711,0
1/2/2021,0,0,0,0,0,0,0,73013,0,6,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,8785,0,0,0,0,0,0,0,854303,106303,0,0,0,42,0,0,0,52390,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71552,38503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431168,0,0,0,0,0,715,0,0,0,0,0,0,2791,0,0,1586,748000,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431168,0,0,0,0,2358484,0
1/3/2021,0,0,0,0,0,0,0,151442,0,1,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4421,0,913,5925,0,0,0,0,330037,0,0,460522,85162,0,0,0,74,0,0,0,24091,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149255,35132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9669,3,0,1595,0,0,0,0,0,0,442,0,0,354,0,0,0,0,0,0,0,21446,0,0,0,0,0,0,555,0,0,0,0,0,0,12534,0,0,0,0,0,0,0,0,0,0,0,375357,0,0,0,0,14205,611964,0
1/4/2021,0,0,0,0,0,0,0,154524,0,114,0,0,923,0,0,0,3,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,3563,2389,0,0,0,0,0,0,0,268781,268775,0,0,0,1359,0,0,0,48346,0,0,6458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151699,68630,0,0,0,0,0,0,0,0,699,0,1,0,0,0,0,0,0,18962,0,0,0,0,0,0,0,0,0,0,0,356466,0,0,0,6,0,1902,0,0,0,0,0,0,41387,0,0,11912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,0,405,0,82834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337504,0,0,0,0,780176,0
1/5/2021,0,0,0,0,0,0,0,129002,0,1761,0,0,2281,0,0,0,1647,0,0,0,0,0,709,0,0,0,0,1443,0,0,0,1513,0,4493,13388,0,0,0,0,0,0,0,296028,292643,0,0,0,4944,0,0,0,53334,0,0,6304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124698,79538,0,0,0,0,0,0,0,0,889,0,623,0,0,0,0,0,0,4276,0,0,0,0,0,0,0,0,0,0,0,277485,0,0,0,3385,0,2023,0,0,0,0,0,0,48006,0,0,16101,0,0,0,0,0,0,0,0,0,0,0,0,0,425,2463,0,1443,0,56505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273209,0,0,0,0,703958,0
1/6/2021,0,0,0,0,0,0,0,108741,0,832,0,0,4579,0,0,0,3879,0,0,0,0,0,2465,0,0,0,0,205,0,0,0,0,3901,5809,19554,0,0,0,0,0,0,0,240548,231484,0,0,0,10320,0,0,0,62743,0,0,3985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102908,65175,0,0,0,0,0,0,0,0,776,0,3500,0,0,0,0,0,0,4949,0,0,0,0,0,0,0,0,0,0,0,475277,0,0,0,9064,0,1254,0,0,0,0,0,0,20133,0,0,16945,0,0,0,0,0,0,0,0,0,0,0,0,0,6193,5274,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470328,0,0,0,0,824771,0
1/7/2021,0,0,0,0,0,0,0,120305,0,3154,0,0,3767,0,0,0,8181,0,0,0,0,0,3204,0,217273,0,0,0,0,0,0,6805,0,7948,17311,0,0,0,0,0,0,0,364989,358436,0,0,0,26218,0,0,0,55746,0,0,5829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115632,92154,0,0,0,0,0,0,0,0,809,0,4155,0,0,0,0,0,0,5217,0,0,0,0,0,0,0,0,0,0,0,835111,0,0,0,6553,0,906,0,0,0,0,0,0,28597,0,0,17846,0,0,0,0,0,0,0,0,0,0,0,0,0,7043,5452,0,0,0,67984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612621,0,0,0,0,1320405,0
1/8/2021,0,0,0,0,0,0,0,72325,0,12904,0,0,6052,0,0,0,9231,0,0,0,0,0,2238,0,39328,0,0,0,0,0,0,4382,0,9919,8372,0,0,0,0,0,0,0,368214,359598,0,0,0,32740,0,0,0,62365,0,0,8827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66204,95496,0,0,0,0,0,0,0,0,906,0,5173,0,0,0,0,0,0,9066,0,0,0,0,0,0,0,0,0,0,0,817207,0,0,0,1616,0,69,0,0,0,0,0,0,9831,0,0,16306,0,0,0,0,0,0,0,0,0,7000,0,0,0,7041,3214,0,0,0,70653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768813,0,0,0,0,1257746,0
1/9/2021,0,0,0,0,0,0,0,50320,0,4372,0,0,5866,0,0,0,3206,0,0,0,0,0,118,0,33760,0,0,0,0,0,0,5015,0,2007,1898,0,0,0,0,0,0,0,193161,193026,0,0,0,10293,0,0,0,60799,0,0,5155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44411,86861,0,0,0,0,0,0,0,0,305,0,304,0,0,0,0,0,0,7326,0,0,0,0,0,0,0,0,0,0,0,41086,0,0,0,135,0,43,0,0,0,0,0,0,1235,0,0,9595,0,0,0,0,0,0,0,0,0,0,0,0,0,1609,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284567,0
1/10/2021,0,0,0,0,0,0,0,880029,0,2203,0,0,5093,0,0,0,399,0,0,0,0,0,0,0,23358,0,0,0,0,0,0,0,2134,1719,813,0,0,0,0,786476,0,0,1067732,158762,0,0,0,5314,0,0,0,34974,0,420,4218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37484,60325,0,0,0,0,0,0,0,0,336,0,3,0,0,0,0,0,0,6506,0,0,0,0,0,0,0,0,0,0,0,29864,0,0,37320,108,0,884,0,0,0,0,0,0,3031,0,0,5993,0,0,0,0,0,0,0,47063,0,2300,0,0,0,3045,1,0,0,0,0,0,0,34254,0,0,0,0,0,0,0,0,0,0,836568,906142,0,0,0,0,35283,1977625,0
1/11/2021,0,0,0,0,0,0,0,30115,0,5567,0,0,3348,0,0,0,5579,0,0,0,0,0,688,0,39446,0,0,0,0,0,0,0,0,9775,657,0,0,0,0,121129,0,0,563315,416859,0,0,0,33783,0,0,0,65884,0,1025,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20987,80876,0,0,0,0,0,0,0,0,1367,0,2209,743,0,0,0,0,0,5760,0,0,0,0,0,0,0,0,0,0,0,2344297,0,0,6182,355,0,2380,0,0,0,0,0,0,54781,0,0,16896,0,0,0,0,0,0,0,12565,0,0,0,0,3400,4055,484,0,0,0,128115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145076,2299091,0,0,0,5200,2937727,0
1/12/2021,0,0,128,0,0,0,0,34169,0,14307,0,0,5178,0,0,0,15616,0,0,0,0,0,1619,0,29282,0,0,0,0,0,0,0,0,13345,462,0,0,0,0,174276,0,0,648318,435213,0,0,0,53707,0,0,0,82337,0,1056,6430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23829,81804,0,0,0,0,0,0,0,0,1627,0,2087,429,0,0,0,0,0,5819,0,0,0,0,0,0,0,0,0,0,0,374917,0,0,7230,4260,0,2362,0,0,0,0,0,0,51786,0,0,15257,0,0,0,0,0,0,0,16023,0,0,0,0,2800,10566,1803,0,0,0,82031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207661,339816,0,0,0,10132,1057404,0
1/13/2021,0,2000,60,0,0,0,0,57511,0,15015,0,0,3587,0,0,0,21328,0,0,0,0,0,1258,0,20442,0,0,1,0,0,0,4553,0,13466,12676,0,0,0,0,239815,0,0,1013135,524356,0,0,0,56667,0,0,0,110188,0,0,8457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51824,94131,0,0,0,0,0,0,0,0,1511,0,6234,499,0,0,0,0,0,99688,0,0,0,0,0,0,0,0,0,0,0,120130,0,0,11284,9776,0,2100,0,0,0,0,0,0,59592,0,0,13821,200000,0,0,0,0,0,0,16242,0,0,2000,0,0,6750,4694,0,1,0,93516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278943,0,0,0,0,11602,1192777,0
1/14/2021,0,0,78,0,0,0,0,65873,0,16357,0,0,8203,0,0,0,23149,0,0,0,0,0,648,0,35465,0,0,2118,0,0,0,3447,0,15156,17821,0,0,0,0,274793,0,0,823221,489141,0,0,0,70420,0,0,0,82106,0,0,6028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56215,93258,0,0,0,0,0,0,0,0,1823,0,8628,362,0,0,0,0,0,137416,0,0,0,0,0,0,0,0,0,0,0,536500,0,0,11866,8472,0,1455,0,0,0,0,0,0,41268,0,0,0,0,0,0,0,0,0,0,16633,0,8836,0,0,0,7456,6666,0,2118,0,94548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316694,363619,0,0,0,13402,1427712,0
